*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Sat Mar  9 09:17:53 2024 
|        14 |       222 |  2.55E-02 |  0.852584 |  0.917774 |     27.48 |     22.03 |  0.069619 |  0.038361 |  3.29E-03 |    122.42 | 
|        14 |       296 |  2.54E-02 |  0.855667 |  0.917774 |     27.44 |     21.95 |  0.085348 |  0.063061 |  3.23E-03 |    123.34 | 
|        14 |       370 |  2.56E-02 |  0.854204 |  0.917774 |     27.38 |     21.88 |  0.262561 |  0.195131 |  3.18E-03 |    124.26 | 
|        14 |       444 |  2.52E-02 |  0.866667 |  0.917774 |     27.38 |     21.85 |  0.127440 |  0.097513 |  3.13E-03 |    125.18 | 
|        14 |       518 |  2.55E-02 |  0.845651 |  0.917774 |     27.42 |     21.85 |  0.098026 |  0.072176 |  3.07E-03 |    126.12 | 
|        14 |       592 |  2.55E-02 |  0.828191 |  0.917774 |     27.45 |     21.87 |  0.126181 |  0.088998 |  3.02E-03 |    127.12 | 
|        14 |       666 |  2.56E-02 |  0.849090 |  0.917774 |     27.48 |     21.90 |  0.116079 |  0.076445 |  2.97E-03 |    128.17 | 
|        14 |       740 |  2.63E-02 |  0.828320 |  0.917774 |     27.51 |     21.98 |  0.154277 |  0.112629 |  2.91E-03 |    129.12 | 
|        14 |       814 |  2.68E-02 |  0.866877 |  0.917774 |     27.51 |     21.99 |  0.107417 |  0.080313 |  2.86E-03 |    130.09 | 
|        14 |       823 |  2.68E-02 |  0.860056 |  0.917774 |     27.51 |     21.99 |  0.226985 |  0.164716 |  2.86E-03 |    130.80 | 
|        15 |        74 |  2.65E-02 |  0.854707 |  0.917774 |     27.49 |     21.93 |  0.135026 |  0.101160 |  2.80E-03 |    131.09 | 
|        15 |       148 |  2.60E-02 |  0.876548 |  0.917774 |     27.44 |     21.88 |  0.305192 |  0.193136 |  2.75E-03 |    132.04 | 
|        15 |       222 |  2.58E-02 |  0.869354 |  0.917774 |     27.38 |     21.79 |  0.175045 |  0.128442 |  2.70E-03 |    132.99 | 
|        15 |       296 |  2.57E-02 |  0.858965 |  0.917774 |     27.38 |     21.74 |  0.307735 |  0.225729 |  2.65E-03 |    133.95 | 
|        15 |       370 |  2.54E-02 |  0.856839 |  0.917774 |     27.42 |     21.72 |  0.066196 |  0.049219 |  2.61E-03 |    134.90 | 
|        15 |       444 |  2.53E-02 |  0.855333 |  0.917774 |     27.39 |     21.71 |  0.173885 |  0.125222 |  2.56E-03 |    135.86 | 
|        15 |       518 |  2.52E-02 |  0.864215 |  0.917774 |     27.41 |     21.73 |  0.057253 |  0.041436 |  2.51E-03 |    136.89 | 
|        15 |       592 |  2.57E-02 |  0.851312 |  0.917774 |     27.42 |     21.72 |  0.070554 |  0.051787 |  2.46E-03 |    137.83 | 
|        15 |       666 |  2.55E-02 |  0.848249 |  0.917774 |     27.45 |     21.73 |  0.063739 |  0.046464 |  2.42E-03 |    138.77 | 
|        15 |       740 |  2.56E-02 |  0.857143 |  0.917774 |     27.46 |     21.74 |  0.107766 |  0.077771 |  2.37E-03 |    139.83 | 
|        15 |       814 |  2.59E-02 |  0.837504 |  0.917774 |     27.45 |     21.72 |  0.075583 |  0.030956 |  2.32E-03 |    140.82 | 
|        15 |       823 |  2.59E-02 |  0.838800 |  0.917774 |     27.45 |     21.72 |  0.174439 |  0.129070 |  2.32E-03 |    141.55 | 
